citric acid;free sulfur dioxide;alcohol
0;11;9.4
0;25;9.8
.04;15;9.8
.56;17;9.8
0;11;9.4
0;13;9.4
.06;15;9.4
0;15;10
.02;9;9.5
.36;17;10.5
.08;15;9.2
.36;17;10.5
0;16;9.9
.29;9;9.1
.18;52;9.2
.19;51;9.2
.56;35;10.5
.28;16;9.3
.08;6;9
.51;17;9.2
.48;29;9.4
.31;23;9.7
.21;10;9.5
.11;9;9.4
.14;21;9.7
.16;11;9.3
.24;4;9.5
.21;10;9.5
0;14;9.4
0;8;9.8
.07;17;10.1
0;22;10.6
.12;15;9.8
.12;40;9.4
.25;13;9.2
0;5;9.6
.14;3;10.8
.28;13;9.7
.09;7;9.8
.36;12;10.5
.36;12;10.5
.3;17;9.3
.2;8;10.5
.22;9;10.3
.02;5;9.5
.15;8;13.1
.43;22;9.2
.52;12;9.5
.23;5;9.2
.37;12;9.2
.26;4;9.2
.04;8;9.4
.04;6;9.4
.36;30;9.4
.15;33;10.2
.04;25;9.5
.57;4;9.6
.12;50;9.4
.18;17;10
.31;9;9.4
.4;19;9.2
.49;20;9.3
.16;12;9.5
.05;13;9.8
.05;4;10.9
.05;4;10.9
.11;11;9.6
.07;6;10.7
.57;27;10.7
.05;8;10.5
.08;15;9.5
.23;17;9.5
.22;18;9.5
.26;11;9.2
.54;28;9.6
.64;9;10.5
.64;9;10.5
0;14;10.7
.12;12;10.1
.2;27;9.1
.2;3;9.2
.7;22;9.4
.47;21;9.1
.26;16;9.4
.48;18;10.3
.15;19;10.1
.28;20;9.9
.26;9;9.6
.44;34;9.5
.08;8;9
.26;42;9.5
.28;20;9.9
.29;19;9.8
.26;9;9.6
.04;41;10.5
.17;17;12.9
0;8;10.7
.25;3;9.2
.06;5;9.8
.18;13;9
.3;11;10.2
.3;8;10.4
.18;13;9
.22;12;9.2
.24;5;9.4
.22;12;9.2
.68;18;9.3
.31;15;9.3
.53;18;9.6
.52;37;9.3
.19;12;9.5
.09;11;9.8
.1;14;9.8
.44;22;9.7
.19;12;9.5
.31;13;10.5
.28;11;10
.12;7;9.4
.04;14;10.9
.08;22;9.2
.09;10;9
.04;14;10.9
0;3;9.2
0;11;9.5
.17;21;9.5
.04;27;9.4
0;3;10.9
0;3;10.9
.16;3;10.5
.15;6;9.4
.56;30;9.4
.09;17;13
.09;17;13
.01;17;9.8
.05;13;9.9
.11;16;9.6
.15;10;9.5
.36;13;9.2
.19;15;9.5
.19;17;9.5
.11;16;9.6
.15;10;9.5
0;27;14
.08;3;9.4
0;27;14
.55;32;9.4
.02;21;10
.26;10;9.3
.1;12;10.2
.44;11;10.5
.47;5;10.3
1;32;9.4
.03;25;10.1
.03;25;10.1
.42;29;10.5
.42;28;10.5
.42;29;10.5
.42;28;10.5
0;12;9.3
.18;18;9.3
.03;7;9.6
.02;9;9.2
.04;17;10
.26;36;9.4
.26;35;9.4
.48;14;9.5
.1;18;10.2
.03;17;9
.07;11;10.4
.24;15;9.5
.03;4;9.1
.17;6;9.2
.17;6;9.2
.05;24;11.5
.21;7;9.5
.04;19;9.5
.21;7;9.5
.42;8;10.5
0;7;9.6
.14;10;9.5
.14;10;9.5
.49;23;9.3
.02;16;9.3
.2;11;9.3
.21;8;9.3
.57;26;9.7
.48;14;9.2
.1;9;9.7
.33;15;9.5
.32;17;9.5
.35;21;9.4
.25;21;9.8
.12;16;9.5
.21;7;9.7
.21;7;9.7
.33;24;9.4
.3;15;10.2
.6;12;10.1
.08;13;13
.06;12;11.4
.47;9;10.3
.48;39;9.3
.11;16;9.5
.35;16;9.2
.36;14;9.2
.74;9;10.8
.74;9;10.8
.31;26;9.3
.28;18;9.4
.58;7;10.5
.6;5;12.4
.24;10;10
.64;5;10.2
.26;28;10.1
.08;10;9.8
.49;26;10.5
.16;13;11
.22;11;9.1
.19;10;9.7
.33;24;9.5
.37;24;9.4
.26;16;9.4
.04;5;9.5
.25;8;10
.36;15;10.4
.25;29;10.5
.5;27;9.5
.14;9;9.8
.25;29;10.5
.25;10;11
.04;19;12.2
.06;12;9.9
.2;18;9.6
.25;10;11
.09;7;9
0;14;9
0;14;9
0;15;9.2
0;14;9
.09;7;9
.37;5;9.3
.56;6;10.9
.1;28;9.8
.44;10;9.2
.44;10;9.2
0;6;9.9
.07;16;9.5
.17;11;9.3
.06;9;9.8
0;6;9.9
.44;16;10
0;16;9.9
.48;5;10.5
.42;8;9.5
0;16;9.9
.23;17;9.3
.37;5;9.2
0;12;9.2
.76;8;9.4
.47;14;10.5
.23;18;9.3
.04;12;9.4
.03;10;10
.23;23;9.3
.49;5;10.9
.52;6;10.2
0;26;9.8
.46;15;12.8
.04;7;9.4
.51;4;10.1
.06;27;10.7
.51;4;10.1
.58;17;10.1
.2;10;9.4
.18;27;9.4
.06;27;10.7
.04;7;9.4
.51;4;10.1
.45;5;12.6
.32;10;10.5
.44;6;9.3
.68;5;9.9
.12;12;9.1
.32;10;10.5
.07;32;9.8
.07;32;9.8
.55;25;10.3
.12;29;10.3
.09;20;10.6
.53;33;9.2
.09;20;10.6
.48;6;10.5
.23;18;10.3
.25;5;10.1
.52;17;9.5
.46;5;9.5
.37;26;9.9
.06;8;9.6
.02;5;9.7
.06;8;9.6
.06;20;10.7
.48;7;10.1
.12;12;10
.12;5;9.5
.6;12;9.2
.48;6;9.3
.32;7;9.4
.42;6;9.5
.44;5;9.5
.38;9;9.5
.48;6;9.3
.24;15;9.4
.31;19;9.5
.3;30;9.4
.29;26;11
.29;20;11
.23;37;10.1
.12;30;10.4
.39;21;11.5
.12;30;10.4
.39;21;11.5
.26;25;9.7
.05;6;9.3
.42;35;9.5
.2;13;9.2
.2;13;9.2
.66;6;11.5
.5;5;11.5
.62;6;9.7
.39;7;9.5
.64;10;12.5
.64;10;12.5
.28;21;9.4
.08;16;11
.01;17;11.7
.53;7;12.2
.45;6;12.5
.32;29;10.3
.58;28;11.5
.54;12;9.8
.5;10;9.2
.48;5;11.3
.47;6;9.8
.47;6;9.8
.5;6;10.7
0;40;9.9
.02;17;12.3
.67;6;12
.31;15;10
0;11;9.4
.22;17;9.9
0;11;9.4
0;8;9.3
.79;23;13
.4;40.5;11.9
.01;17;12.8
.52;29;11
.66;12;11.7
.66;10;10.4
.66;10;9.8
.23;14;9.4
.31;21;9.9
.66;6;10
.63;6;10.2
.66;7;10
.5;7;11.8
.66;7;10
.61;11;9
.52;15;9.4
.53;6;12
.02;35;9.9
